nodeName	altName	nodeAttr[nodesPresent, ]
AP000692.2	NA	blue
AC139712.2	NA	blue
PRTN3	NA	blue
AC073610.2	NA	blue
MIR3199-2	NA	blue
AP001172.1	NA	blue
AC023762.1	NA	blue
AL078590.2	NA	blue
AC006329.1	NA	blue
AL450306.1	NA	blue
MIR4797	NA	blue
TREML3P	NA	blue
AC245427.1	NA	blue
HLA-DQA2	NA	blue
AC137834.2	NA	blue
RNA5SP365	NA	blue
AC023449.1	NA	blue
OR51K1P	NA	blue
IL10RB-DT	NA	blue
SNORA15B-2	NA	blue
LINC00479	NA	blue
AL138828.1	NA	blue
RPS27P27	NA	blue
AC010280.2	NA	blue
RNA5SP203	NA	blue
HBEGF	NA	blue
AL513318.2	NA	blue
SNRPCP6	NA	blue
AL031848.1	NA	blue
AL358473.2	NA	blue
GAPDHP32	NA	blue
KRTAP8-1	NA	blue
MIR23A	NA	blue
AC124254.1	NA	blue
AC073934.1	NA	blue
AC092839.2	NA	blue
CT70	NA	blue
COP1P1	NA	blue
AC089999.1	NA	blue
RN7SKP170	NA	blue
SEPT7P3	NA	blue
RN7SL461P	NA	blue
AC245519.1	NA	blue
FDPSP3	NA	blue
LINC01291	NA	blue
AC107029.1	NA	blue
AL390755.2	NA	blue
OR2A15P	NA	blue
LCN9	NA	blue
SLC25A47	NA	blue
TNFAIP6	NA	blue
AP000919.2	NA	blue
PLCE1-AS1	NA	blue
AC024651.1	NA	blue
AC008667.4	NA	blue
AC022509.1	NA	blue
MIR4522	NA	blue
RN7SL678P	NA	blue
AC068506.1	NA	blue
OR1AC1P	NA	blue
WFDC10A	NA	blue
AL691482.3	NA	blue
MTCYBP18	NA	blue
RNU6-619P	NA	blue
CETP	NA	blue
SGCA	NA	blue
AC093726.2	NA	blue
RNU6ATAC2P	NA	blue
AC113137.1	NA	blue
MIR212	NA	blue
HK2P1	NA	blue
RPS14P4	NA	blue
AP005131.5	NA	blue
AC110491.3	NA	blue
HIST1H1T	NA	blue
SNX19P3	NA	blue
UCMA	NA	blue
AL022313.2	NA	blue
MS4A6E	NA	blue
AL390198.2	NA	blue
AP003049.2	NA	blue
LINC01351	NA	blue
OR5P4P	NA	blue
SLC34A3	NA	blue
AP000462.1	NA	blue
HLA-DQB2	NA	blue
AKR1C4	NA	blue
RPL12P36	NA	blue
AC132872.4	NA	blue
CLUHP10	NA	blue
LINC00354	NA	blue
AC079942.1	NA	blue
AC087164.1	NA	blue
MCHR2	NA	blue
LINC00973	NA	blue
AC114488.3	NA	blue
AL137100.1	NA	blue
PRR13P3	NA	blue
AP000436.1	NA	blue
LINC02648	NA	blue
RPSAP31	NA	blue
Z75746.1	NA	blue
AC012569.1	NA	blue
AC100839.2	NA	blue
AC026396.1	NA	blue
AC018761.2	NA	blue
AC006449.1	NA	blue
AC022748.2	NA	blue
IL18RAP	NA	blue
AC023908.1	NA	blue
AP001468.1	NA	blue
CACNA1C-IT2	NA	blue
AC020658.6	NA	blue
AL136988.1	NA	blue
OR7E157P	NA	blue
AL627309.6	NA	blue
MTCYBP33	NA	blue
AC025475.1	NA	blue
HBZ	NA	blue
MEDAG	NA	blue
AL442663.1	NA	blue
AP005264.3	NA	blue
LINC02257	NA	blue
HSPA8P18	NA	blue
EIF1P6	NA	blue
AC020558.3	NA	blue
HAPLN1	NA	blue
FOXL2NB	NA	blue
AC005410.1	NA	blue
MIR4672	NA	blue
LRP4-AS1	NA	blue
AL136368.1	NA	blue
ARG1	NA	blue
AC073648.4	NA	blue
AL158847.1	NA	blue
AC027601.1	NA	blue
FOXL1	NA	blue
OR7E145P	NA	blue
AC021517.1	NA	blue
AC122719.1	NA	blue
Z82206.1	NA	blue
RPL23AP3	NA	blue
ERVK-28	NA	blue
PRB2	NA	blue
AC009108.3	NA	blue
CYP1B1	NA	blue
THAP12P5	NA	blue
PCGF7P	NA	blue
SNORA15	NA	blue
AL031728.1	NA	blue
ATP6V0E1P3	NA	blue
AC079777.1	NA	blue
WBP1LP2	NA	blue
MIRLET7C	NA	blue
KLRC3	NA	blue
HNRNPMP1	NA	blue
ABCB10P4	NA	blue
MIR651	NA	blue
AC022726.1	NA	blue
RPL9P5	NA	blue
AP000345.1	NA	blue
RF01947	NA	blue
MIR2116	NA	blue
OR1L8	NA	blue
DKK4	NA	blue
AC008805.1	NA	blue
AL353764.1	NA	blue
RASD1	NA	blue
MGAT4D	NA	blue
RPSAP15	NA	blue
HMGN2P7	NA	blue
DARS-AS1	NA	blue
Z73429.1	NA	blue
AC010468.1	NA	blue
MB	NA	blue
CHMP1B-AS1	NA	blue
MIR1179	NA	blue
AC073896.5	NA	blue
CPHL1P	NA	blue
MTND2P12	NA	blue
KPNA7	NA	blue
ST13P18	NA	blue
TMC2	NA	blue
MIRLET7F2	NA	blue
AC144530.1	NA	blue
LINC02324	NA	blue
NDUFB8P2	NA	blue
DKFZP434K028	NA	blue
AC015853.3	NA	blue
SNORA59B	NA	blue
AC068491.4	NA	blue
MCRIP2P2	NA	blue
AC008489.1	NA	blue
NCF1B	NA	blue
AL645608.1	NA	blue
AC123767.1	NA	blue
AL353784.1	NA	blue
MIR6809	NA	blue
LDHBP3	NA	blue
AC137695.1	NA	blue
AC234782.1	NA	blue
MIR455	NA	blue
HCAR3	NA	blue
PRDX3P1	NA	blue
RNU4-33P	NA	blue
USP8P1	NA	blue
AC115621.1	NA	blue
MIR1284	NA	blue
AC013248.1	NA	blue
LINC00514	NA	blue
FGF7P8	NA	blue
AL606490.2	NA	blue
LINC02234	NA	blue
RF00086	NA	blue
AP001341.1	NA	blue
AC013391.3	NA	blue
ZNF192P2	NA	blue
BNIP3P42	NA	blue
AL031687.1	NA	blue
FOSL2	NA	blue
RNU6-293P	NA	blue
AC091152.1	NA	blue
AC131649.2	NA	blue
ZSCAN10	NA	blue
PSG1	NA	blue
C16orf92	NA	blue
CR392039.5	NA	blue
FAM3D-AS1	NA	blue
MCHR2-AS1	NA	blue
ENPEP	NA	blue
AL627443.1	NA	blue
KNOP1P2	NA	blue
AL136298.3	NA	blue
AC092364.1	NA	blue
AC006146.1	NA	blue
SETP20	NA	blue
AC114546.3	NA	blue
AL355994.4	NA	blue
MTND1P8	NA	blue
RPS20P22	NA	blue
TMED10P2	NA	blue
AC012414.5	NA	blue
MIR4663	NA	blue
MIR941-5	NA	blue
ADGRE3	NA	blue
AC141424.1	NA	blue
RNU6-520P	NA	blue
AC093107.1	NA	blue
AL158850.1	NA	blue
AC130456.3	NA	blue
