Gene	corr	p.value	p.adj	Module
LINC02109	0.199838442964614	0.0774378989105541	1	MEblue
Z97192.3	0.261671143467688	0.0198347672181253	1	MEblue
MTCO3P39	0.317610759156062	0.00434123579179859	1	MEblue
RF02105	0.376916276311515	0.000617267987660364	0.269746110607579	MEblue
CPN2	0.304302917430373	0.00639948909952177	1	MEblue
RNU5F-1	0.464534250939365	1.6134239866496e-05	0.00792191177444954	MEblue
AC087235.2	0.20264028877407	0.0732885916315362	1	MEblue
AC135983.3	0.314857849996974	0.00471078122018555	1	MEblue
NPIPB8	0.252238729020139	0.0249221349112884	1	MEblue
IER3	0.823414131283197	1.23305172285236e-20	7.06538637194401e-18	MEblue
AC022517.1	0.405714986926339	0.000207692115720171	0.0944999126526778	MEblue
TNFRSF18	0.449594508526561	3.23001152171884e-05	0.0156332557651192	MEblue
SLCO4A1-AS1	0.79867985436661	1.16741832697725e-18	6.59591354742143e-16	MEblue
CSNK1A1P1	0.190283587349293	0.0930148175127411	1	MEblue
MIR6823	0.440181990014273	4.92075535697561e-05	0.0236196257134829	MEblue
APCS	0.345254988452802	0.0018319772730148	0.736980156823278	MEblue
LINC00645	0.314804976736369	0.00471814402601551	1	MEblue
DUXB	0.287388715155947	0.0102265503013016	1	MEblue
BX537318.2	0.593032844564879	8.47771140821534e-09	4.4762316235377e-06	MEblue
LILRA5	0.255304914089827	0.0231589036903223	1	MEblue
CU638689.4	0.230448682459681	0.0410312735966576	1	MEblue
AC022710.1	0.591080180562499	9.75312776277017e-09	5.13989833097988e-06	MEblue
ARC	0.810809476375388	1.36230040970042e-19	7.7378663270984e-17	MEblue
AP002008.2	0.297289416719091	0.00779797795505332	1	MEblue
AC136475.5	0.639591538965932	2.22687622693046e-10	1.20251316254245e-07	MEblue
AC136475.9	0.595313497882369	7.18911261811353e-09	3.80304057498206e-06	MEblue
HNF4A	0.335125824606678	0.00253608129596402	0.983999542834041	MEblue
CCNB2P1	0.216401738437178	0.0554252967891659	1	MEblue
F2RL3	0.202986428775119	0.0727886006829938	1	MEblue
AC008760.1	-0.281634862941569	0.0119219461754367	1	MEblue
LUNAR1	0.498851474150473	2.8803900005499e-06	0.00144595578027605	MEblue
RNU6-456P	-0.189891271239209	0.0937035486522163	1	MEblue
AC007406.4	0.523387989171301	7.45555216378275e-07	0.00038023316035292	MEblue
OR6J1	-0.429104786882499	7.95098122892206e-05	0.0377671608373798	MEblue
AC004870.1	0.276348180104578	0.0136899057698533	1	MEblue
CER1	-0.225885780875176	0.0453205412823968	1	MEblue
IGLV1-36	0.216073179394336	0.0558059216676007	1	MEblue
HNF1A	0.397719818840212	0.000283848746808043	0.127731936063619	MEblue
AC116533.1	0.205231675440746	0.0696114926086917	1	MEblue
RPL12P13	0.362367860022553	0.00103162911176115	0.435347485163206	MEblue
TDGF1	-0.414267458931855	0.000147392583667319	0.0682427662379686	MEblue
MIR3680-2	0.528551876001763	5.53337811372546e-07	0.000283862297234116	MEblue
AC020910.2	-0.364195586345819	0.000968428081917346	0.410613506732955	MEblue
GUSBP3	-0.198796600662031	0.0790278156418772	1	MEblue
ANKRD22	0.264721789840287	0.0183924027369773	1	MEblue
HAUS6P3	0.128891231126393	0.257600879335182	1	MEblue
AC008267.8	0.273117540805504	0.0148785016030234	1	MEblue
AL645608.7	0.811387080344834	1.22512933367222e-19	6.97098590859496e-17	MEblue
ULBP1	0.439830018586157	4.99763724265092e-05	0.0239386823922979	MEblue
PRADC1P1	-0.508930220668321	1.67442854113307e-06	0.000843911984731068	MEblue
CTAGE6	0.369165405975309	0.000813943162577572	0.351623446233511	MEblue
AL034397.3	-0.349637598341186	0.00158618663521874	0.645577960534027	MEblue
MIR4533	0.179620176508611	0.11320189211574	1	MEblue
AC011840.1	0.215411099595179	0.0565794041790144	1	MEblue
AL356215.1	0.248234228967411	0.0273954613815449	1	MEblue
KRT39	-0.510286191766034	1.55450957579187e-06	0.000785027335774896	MEblue
CLEC4M	-0.168139363240284	0.138552657376475	1	MEblue
AC118282.1	0.338641844267898	0.00226809788940583	0.89136247053649	MEblue
AL031666.2	0.373766020488903	0.000691278477156115	0.30070613756291	MEblue
AC090572.3	0.157268883930825	0.166301345238809	1	MEblue
Z82244.2	0.535508388452235	3.67383430126005e-07	0.000188835083084767	MEblue
RNU6-737P	0.177870520868157	0.116815182228129	1	MEblue
AC093390.1	0.513704613491256	1.28710045735059e-06	0.000651272831419401	MEblue
AC138466.1	0.342095742118397	0.00202989444349465	0.809927882954365	MEblue
LINC02367	0.391705684457361	0.000357200329865923	0.159311347120202	MEblue
GOLGA8O	0.347317540640183	0.00171232319811324	0.693490895235862	MEblue
AL355306.2	-0.242459447714619	0.0313255502038165	1	MEblue
AC023137.1	0.359459810703899	0.00113993072731124	0.477225513654553	MEblue
PTK6	0.507422140471329	1.81801476653937e-06	0.000914461427569305	MEblue
GRAMD4P7	0.430580723257753	7.46568248918689e-05	0.0355366486485296	MEblue
AC104695.3	0.34679826122704	0.00174176506277005	0.703673085359102	MEblue
S100A12	0.128429404008695	0.259324366305605	1	MEblue
SNHG27	0.313032286699995	0.00497098349178132	1	MEblue
AL162457.2	0.5823108571406	1.80956659481573e-08	9.51832028873075e-06	MEblue
MIR181B1	-0.708294766282948	2.85619819334981e-13	1.56805280814905e-10	MEblue
RNU4-80P	0.497404359999957	3.10931228159716e-06	0.00155776545308018	MEblue
VCX	0.220249438397591	0.051123698073469	1	MEblue
PRF1	0.305212571912631	0.00623537854528349	1	MEblue
LINC01502	0.514635655636891	1.22216329811689e-06	0.000619636792145263	MEblue
AP000808.1	0.234363344958053	0.0376253033245037	1	MEblue
AC090572.2	0.24724777558469	0.0280356400646139	1	MEblue
CTNNA1P1	0.198489677243521	0.0795011309910383	1	MEblue
ZNF812P	-0.277388973681416	0.0133249192523249	1	MEblue
OBP2A	0.344083679920404	0.00190323223180816	0.761292892723264	MEblue
LINC02261	-0.137609815416187	0.226520465359437	1	MEblue
LCN10	-0.311905840608938	0.00513782284354876	1	MEblue
TCAF2P1	0.291026312569392	0.00926678923930072	1	MEblue
RNU7-123P	0.28403562007473	0.0111869459940082	1	MEblue
ABHD17AP5	-0.210348422296442	0.0627874018395013	1	MEblue
AC024560.1	-0.146562916624064	0.197436794058511	1	MEblue
CEBPD	0.898069453352849	3.44666497439173e-29	2.0438723298143e-26	MEblue
GPR78	0.442106588396832	4.51943811335443e-05	0.0217384973252348	MEblue
AC079064.1	0.36730352690975	0.000868979666592369	0.372792276968126	MEblue
ASNSP1	0.165889562477918	0.143987549573558	1	MEblue
S1PR5	0.281105479579276	0.0120895532131868	1	MEblue
AL158198.1	-0.243060088749998	0.030895840938304	1	MEblue
FAM92B	0.495417946532183	3.45150562955796e-06	0.00172575281477898	MEblue
IL17B	0.382275988241313	0.000507765664195641	0.224432423574473	MEblue
AC005014.3	0.163717471477756	0.149385266996409	1	MEblue
MIR4274	0.323841533023838	0.00359836572968559	1	MEblue
HLA-J	0.627107867068174	6.27066347925961e-10	3.37361695184167e-07	MEblue
CD80	0.301236561890459	0.0069811009423677	1	MEblue
AC108463.3	0.217760014181345	0.0538742211933332	1	MEblue
GDA	0.211019156780354	0.0619345115109064	1	MEblue
ADGRG3	0.456279817013203	2.37709048155107e-05	0.0115764306451537	MEblue
AC087072.2	-0.224415382957921	0.0467792667770063	1	MEblue
NOS2P3	-0.220843273283268	0.0504848995820148	1	MEblue
AC093909.1	-0.23267496277439	0.0390641995319059	1	MEblue
TEX43	-0.381650763342133	0.000519554522791176	0.229123544550908	MEblue
AL158801.2	0.252310129500082	0.0248798152644614	1	MEblue
GPIHBP1	-0.311089596024432	0.0052617987246286	1	MEblue
LINC01714	0.24483615925569	0.0296541256620633	1	MEblue
AC004980.3	-0.133301845314259	0.241533244973704	1	MEblue
C19orf33	-0.14222739695553	0.211167021269251	1	MEblue
DDIT4-AS1	0.541914286481231	2.49896862711764e-07	0.000128696884296559	MEblue
OR9I2P	0.174830669565385	0.123303227129631	1	MEblue
GRIFIN	0.188400700764064	0.09635694708832	1	MEblue
HILPDA	0.780473223759889	2.26125558360463e-17	1.26404187123499e-14	MEblue
Z97353.2	0.319099165164696	0.00415236279599712	1	MEblue
CCL20	0.470464186451671	1.21376457642757e-05	0.00599599700755219	MEblue
MIR4648	0.573397943664015	3.32969850590158e-08	1.73477292157472e-05	MEblue
AC008591.1	0.254987454383265	0.0233363902674842	1	MEblue
MIR338	0.195104114468477	0.0848733834045513	1	MEblue
AC011511.5	0.341794676775845	0.00204972426772199	0.81374053428563	MEblue
CCDC190	-0.232193450244727	0.03948285803063	1	MEblue
MAS1LP1	-0.308243712917636	0.00571501997448191	1	MEblue
MIR210	0.614095022821306	1.75855001006668e-09	9.39065705375605e-07	MEblue
AGMO	0.251711097954308	0.025236764444192	1	MEblue
IRF4	0.4227145240048	0.000104086895027135	0.0487126668726992	MEblue
Z83844.2	-0.166708098234026	0.141991949613614	1	MEblue
DYNLL1P1	0.286546796615896	0.0104606671375325	1	MEblue
TGIF1	0.816487953739179	4.72242856153966e-20	2.69178428007761e-17	MEblue
AC025259.2	0.245181452298691	0.0294176695852578	1	MEblue
AC005829.2	-0.19732260056969	0.0813215776938961	1	MEblue
AC027277.2	0.318617197936865	0.004212706513215	1	MEblue
LINC02129	0.198042532581565	0.0801947260774691	1	MEblue
RGPD5	-0.103776303092059	0.362747359752885	1	MEblue
GAPDHP72	0.46335238674909	1.70652416454856e-05	0.00834490316464245	MEblue
AC087269.1	-0.364984833238839	0.00094223998274021	0.402020480102833	MEblue
OR52L2P	0.181424031834278	0.10956768195786	1	MEblue
AC245140.1	-0.239623726480439	0.0334227573215768	1	MEblue
CDHR5	0.328826342919117	0.00308801027462872	1	MEblue
LSM1P1	0.367943160717601	0.000849702150729149	0.365371924813534	MEblue
MIR6728	0.426137538403454	9.01628633701845e-05	0.0424667086473569	MEblue
CYCSP32	0.207167470033654	0.0669627467290275	1	MEblue
SPINK9	-0.270134118894611	0.0160542740566503	1	MEblue
AC093909.6	-0.308239390610877	0.0057157337824662	1	MEblue
FAM138C	0.25737354973093	0.0220302717408319	1	MEblue
AC007098.1	0.266677093339745	0.0175160443871858	1	MEblue
AC093525.5	-0.191398283167571	0.0910796343548754	1	MEblue
AC240565.2	0.156108159622406	0.169490477056285	1	MEblue
GAPDHP71	-0.141844400536448	0.212411687606242	1	MEblue
RNU6-388P	-0.161876329086458	0.154077920071081	1	MEblue
MIR6815	0.489790262936892	4.62318573115232e-06	0.0022977233083827	MEblue
AC004854.1	-0.163354327944091	0.150302268277391	1	MEblue
LDHBP1	-0.455166055680223	2.50278302283832e-05	0.0121635254909942	MEblue
AC092418.1	-0.234265536936154	0.0377074348570207	1	MEblue
TEX13C	0.253960069010921	0.0239187405813802	1	MEblue
AC015936.1	0.392443141195871	0.000347354429697399	0.155267430074738	MEblue
RN7SL817P	0.428586042988781	8.12837753353796e-05	0.0385285095089699	MEblue
AC097652.1	0.161161791465746	0.155928397449599	1	MEblue
CYP4B1	-0.107381223066256	0.34622355631001	1	MEblue
PSORS1C3	0.160791902400168	0.156892789228239	1	MEblue
AC108125.1	-0.169961027038648	0.134266707887666	1	MEblue
KLF17	0.424398187293929	9.70069027754065e-05	0.0454962374016657	MEblue
AC087163.1	0.20709464869468	0.0670608938833207	1	MEblue
LINC02301	0.206329068566496	0.0680997689010682	1	MEblue
PON1	0.191883694602316	0.0902469116517642	1	MEblue
GPR183	0.596405555205172	6.64035327433707e-09	3.52602758867299e-06	MEblue
AC138466.4	0.354168501459276	0.00136374625779125	0.561863458209993	MEblue
HIST1H3J	-0.317293912514746	0.00438241440658029	1	MEblue
BMS1P3	-0.248089288641568	0.0274887412498874	1	MEblue
GSTA8P	0.327139774211909	0.00325293719719659	1	MEblue
RNU6-730P	0.318829228970304	0.00418606419999446	1	MEblue
AC013429.1	-0.1733710237725	0.126514983163864	1	MEblue
AC005162.2	-0.295886128604454	0.00810799372002355	1	MEblue
MT-TH	0.130740819175226	0.250776596040126	1	MEblue
ISCA2P1	-0.208918394423809	0.0646375852740735	1	MEblue
AC242988.1	-0.10685765229937	0.348593810447416	1	MEblue
MIR4782	-0.258934424789801	0.0212100294250915	1	MEblue
TMPRSS13	0.228604402880997	0.0427224999177098	1	MEblue
AP005131.1	0.304696067765261	0.00632809919957672	1	MEblue
YTHDF1P1	0.194452330167157	0.0859399446918241	1	MEblue
SETP16	-0.364431573549979	0.000960529350405802	0.408224973922466	MEblue
AC012048.1	0.365957841991519	0.00091084023925584	0.3898396224015	MEblue
HCG22	0.232099526545706	0.0395649550868468	1	MEblue
PKD1P5	0.0625079782867358	0.584197972838836	1	MEblue
AC011840.2	-0.151363035054666	0.182995979625861	1	MEblue
OLR1	0.67441217622807	9.5152947760068e-12	5.16680506337169e-09	MEblue
AC044860.2	0.264415651629527	0.0185329633174747	1	MEblue
MIR7845	0.263867043917139	0.0187871575463985	1	MEblue
CTAGE10P	0.204745677531614	0.0702895571951751	1	MEblue
MIR4999	0.25256433774073	0.0247296388813034	1	MEblue
CCR9	0.222508879738279	0.0487280862073654	1	MEblue
AC007954.1	0.194519596378065	0.0858293832944515	1	MEblue
RBAKDN	0.209683412891961	0.0636423860506495	1	MEblue
RN7SL293P	-0.0743834285932957	0.514723874069094	1	MEblue
LGALS3	0.711008465108792	2.110916191817e-13	1.16100390549935e-10	MEblue
AL356390.1	0.475959560114137	9.27922578935527e-06	0.00459321676573086	MEblue
FAM86KP	0.242409926512671	0.0313612017559341	1	MEblue
AC018521.2	0.271637108353275	0.0154523009586647	1	MEblue
IL1A	0.372343038877742	0.000727288008424226	0.31491570764769	MEblue
CBLL2	0.297099897798992	0.00783922910175906	1	MEblue
NAMPTP1	0.231661391965509	0.0399497998306507	1	MEblue
AC107081.2	0.373531165524003	0.000697107422294886	0.30254462127598	MEblue
OR8R1P	-0.362330993492083	0.00103294155414786	0.435347485163206	MEblue
RPRML	0.275182651070753	0.014108879391776	1	MEblue
RPS3AP54	-0.390969987655956	0.000367277037607041	0.163438281735133	MEblue
AP000692.2	0.352424973157646	0.00144576763103389	0.594210496354928	MEblue
AC139712.2	0.301798699110733	0.00687111754522887	1	MEblue
PRTN3	0.411718000572646	0.000163415815537701	0.0751712751473425	MEblue
AC073610.2	0.286215121349598	0.0105541733834365	1	MEblue
MIR3199-2	0.202823299892446	0.0730238944136606	1	MEblue
AP001172.1	-0.356980771464289	0.00124027889090322	0.514715739724835	MEblue
AC023762.1	-0.341977114168962	0.00203768724121937	0.810999522005307	MEblue
AL078590.2	0.314343524325849	0.00478283775965748	1	MEblue
AC006329.1	0.129477183446956	0.255425406011255	1	MEblue
AL450306.1	0.251862634018292	0.0251460594968944	1	MEblue
MIR4797	0.527568577560846	5.85885843218051e-07	0.000299973551727642	MEblue
TREML3P	0.16571490990426	0.144416070368888	1	MEblue
AC245427.1	-0.178374629067308	0.115765139355347	1	MEblue
HLA-DQA2	0.352091127849616	0.00146197200638925	0.598886669525782	MEblue
AC137834.2	0.52066509370718	8.70767219368205e-07	0.000443220514658417	MEblue
RNA5SP365	0.210217174371323	0.0629554021644292	1	MEblue
AC023449.1	0.205748455203223	0.0688962670223239	1	MEblue
OR51K1P	0.277618224557673	0.0132456681927698	1	MEblue
IL10RB-DT	0.184204190765064	0.104144397073584	1	MEblue
SNORA15B-2	-0.253530152388147	0.02416607087078	1	MEblue
LINC00479	0.216775207113025	0.0549952238020279	1	MEblue
AL138828.1	0.306287753807491	0.0060462034427684	1	MEblue
RPS27P27	0.275138905795266	0.0141248181787496	1	MEblue
AC010280.2	0.234748569177734	0.0373032719376405	1	MEblue
RNA5SP203	-0.153306270868446	0.177373612414696	1	MEblue
HBEGF	0.766197525951218	1.90923636870911e-16	1.06153542100227e-13	MEblue
AL513318.2	0.218186767732962	0.0533942909101047	1	MEblue
SNRPCP6	0.523622992540446	7.35585692766101e-07	0.000375884289003477	MEblue
AL031848.1	0.574210766922699	3.15194886386097e-08	1.64531730693543e-05	MEblue
AL358473.2	0.183535526667296	0.105429272989768	1	MEblue
GAPDHP32	-0.43103003334653	7.32348971144939e-05	0.0349330459236136	MEblue
KRTAP8-1	-0.239352655868635	0.0336292580302734	1	MEblue
MIR23A	0.406599975931387	0.000200536000901799	0.0916449524121221	MEblue
AC124254.1	0.276406539826596	0.0136692134064812	1	MEblue
AC073934.1	0.395729961692146	0.000306425599012903	0.137278668357781	MEblue
AC092839.2	0.200412713122095	0.0765725098239881	1	MEblue
CT70	0.325778622625804	0.00339173139053994	1	MEblue
COP1P1	-0.239664974449244	0.0333914281730475	1	MEblue
AC089999.1	-0.211183500455773	0.0617269759850306	1	MEblue
RN7SKP170	0.418066118576541	0.000126191196244411	0.0586789062536511	MEblue
SEPT7P3	-0.21141833782245	0.0614313996821445	1	MEblue
RN7SL461P	-0.19429607291438	0.0861972106866025	1	MEblue
AC245519.1	-0.149542193005682	0.188380707226399	1	MEblue
FDPSP3	0.324964646668029	0.00347723408005316	1	MEblue
LINC01291	0.134054397041727	0.238862383736225	1	MEblue
AC107029.1	0.397226097220096	0.000289303321590988	0.129897191394353	MEblue
AL390755.2	0.450663131173111	3.0768439885808e-05	0.0149226933446169	MEblue
OR2A15P	0.137138431167997	0.228130625410019	1	MEblue
LCN9	0.31727354851041	0.004385072822125	1	MEblue
SLC25A47	0.327690284115869	0.00319825890124215	1	MEblue
TNFAIP6	0.1965230400164	0.0825877920878718	1	MEblue
AP000919.2	0.328955766016405	0.00307566849975187	1	MEblue
