id	Oxidative_stress
sample_09	9.4110553652482
sample_16	9.26043782642651
sample_43	9.45508247375692
sample_65	9.51101974347315
sample_07	9.31986701526474
sample_64	9.45303309667811
sample_51	9.47163999918933
sample_19	9.40329373269774
sample_80	9.26832620969506
sample_62	9.45384402575418
sample_27	9.24039373353704
sample_15	9.32154137531684
sample_29	9.30202996685207
sample_59	9.39830264937494
sample_41	9.47400606774871
sample_71	9.28151341614628
sample_35	9.30864266361984
sample_78	9.93954248591647
sample_33	9.37699529918122
sample_01	9.30126782233694
sample_60	9.59157312158792
sample_25	9.30461207323834
sample_76	9.61335320471698
sample_14	9.60234413527667
sample_40	9.30846378574295
sample_58	9.24980224282684
sample_52	9.30473136163797
sample_31	9.38135832892419
sample_20	9.35282527634172
sample_04	9.55278782839089
sample_75	9.52956822125396
sample_48	9.25278485574698
sample_72	9.45744617203237
sample_77	9.1639902951776
sample_12	9.60506705899971
sample_53	9.39019842646741
sample_56	9.45580079220972
sample_70	9.27088277393882
sample_67	9.58737852285753
sample_57	9.38772331791804
sample_02	9.38213997286269
sample_73	10.1639902951776
sample_74	9.36577626749989
sample_38	9.52668729058579
sample_79	9.3030717221747
sample_42	9.28750186428348
sample_13	9.45552465089577
sample_05	9.51306685069691
sample_32	9.35117329989013
sample_69	9.77166319220402
sample_36	9.72279346211059
sample_21	9.35570077707855
sample_30	9.4368081330848
sample_26	9.2578801551372
sample_10	9.37736266711896
sample_24	9.29455680863816
sample_66	9.49351140959631
sample_39	10.0375551980525
sample_06	9.34217838413563
sample_22	9.46763708450007
sample_28	9.49406851487608
sample_08	9.27357657474998
sample_17	9.30223770146471
sample_63	9.55545101855646
sample_37	9.74136081096192
sample_50	9.32639247306587
sample_61	9.51253693827437
sample_11	9.35338940099892
sample_55	9.28496480549222
sample_18	9.52232155139178
sample_54	9.33152834080369
sample_03	9.37067557827524
sample_46	9.34149529222521
sample_34	9.83318534198429
sample_49	9.4594861246451
sample_23	9.33210055822633
sample_68	9.48352532821317
sample_44	9.42668539038478
sample_47	9.40513168372296
