Oxidative_stress	Group
9.4110553652482	Ctrl
9.26043782642651	Ctrl
9.45508247375692	DR
9.51101974347315	DR
9.31986701526474	Ctrl
9.45303309667811	DR
9.47163999918933	DR
9.40329373269774	Ctrl
9.26832620969506	DR
9.45384402575418	DR
9.24039373353704	DM
9.32154137531684	Ctrl
9.30202996685207	DM
9.39830264937494	DR
9.47400606774871	DR
9.28151341614628	DR
9.30864266361984	DM
9.93954248591647	DR
9.37699529918122	DM
9.30126782233694	Ctrl
9.59157312158792	DR
9.30461207323834	DM
9.61335320471698	DR
9.60234413527667	Ctrl
9.30846378574295	DM
9.24980224282684	DR
9.30473136163797	DR
9.38135832892419	DM
9.35282527634172	Ctrl
9.55278782839089	Ctrl
9.52956822125396	DR
9.25278485574698	DR
9.45744617203237	DR
9.1639902951776	DR
9.60506705899971	Ctrl
9.39019842646741	DR
9.45580079220972	DR
9.27088277393882	DR
9.58737852285753	DR
9.38772331791804	DR
9.38213997286269	Ctrl
10.1639902951776	DR
9.36577626749989	DR
9.52668729058579	DM
9.3030717221747	DR
9.28750186428348	DR
9.45552465089577	Ctrl
9.51306685069691	Ctrl
9.35117329989013	DM
9.77166319220402	DR
9.72279346211059	DM
9.35570077707855	DM
9.4368081330848	DM
9.2578801551372	DM
9.37736266711896	Ctrl
9.29455680863816	DM
9.49351140959631	DR
10.0375551980525	DM
9.34217838413563	Ctrl
9.46763708450007	DM
9.49406851487608	DM
9.27357657474998	Ctrl
9.30223770146471	Ctrl
9.55545101855646	DR
9.74136081096192	DM
9.32639247306587	DR
9.51253693827437	DR
9.35338940099892	Ctrl
9.28496480549222	DR
9.52232155139178	Ctrl
9.33152834080369	DR
9.37067557827524	Ctrl
9.34149529222521	DR
9.83318534198429	DM
9.4594861246451	DR
9.33210055822633	DM
9.48352532821317	DR
9.42668539038478	DR
9.40513168372296	DR
